Date/Time,FlowmeterNum,ProductNum,Weight(g),Valve1 Weight(g),Valve2 Weight(g),Valve3 Weight(g),Valve4 Weight(g),SN
2025/3/26 10:34:29,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 10:52:09,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 10:54:59,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 11:48:07,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 11:48:08,1,2,0.000,0.000,0.000,0.000,0.000,
2025/3/26 11:48:09,1,3,0.000,0.000,0.000,0.000,0.000,
2025/3/26 11:48:10,1,4,0.000,0.000,0.000,0.000,0.000,
2025/3/26 20:58:46,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 20:58:47,1,2,0.000,0.000,0.000,0.000,0.000,
2025/3/26 20:58:49,1,3,0.000,0.000,0.000,0.000,0.000,
2025/3/26 20:58:50,1,4,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:06:32,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:06:32,1,2,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:06:33,1,3,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:06:33,1,4,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:07:20,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:07:39,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:08:18,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:08:47,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:20:21,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:22:19,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:28:09,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:28:27,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:31:56,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:32:16,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:33:44,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:36:04,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:39:19,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:39:41,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:42:43,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:44:24,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:47:52,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:52:28,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:52:49,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:56:10,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/26 21:58:21,1,1,0.000,0.000,0.000,0.000,0.000,
