Date/Time,FlowmeterNum,ProductNum,Weight,Valve1 Weight,Valve2 Weight,Valve3 Weight,Valve4 Weight
2024/3/4 9:59:52,3,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 9:59:52,2,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 9:59:52,1,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 9:59:56,3,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 9:59:56,2,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 9:59:56,1,2,0.001,0.000,0.000,0.001,0.000
2024/3/4 11:00:42,2,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 11:00:42,1,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 11:00:42,3,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 11:00:43,3,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 11:00:43,1,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 11:00:43,2,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 13:31:59,3,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 13:31:59,2,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 13:31:59,1,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 13:32:04,2,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 13:32:04,3,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 13:32:04,1,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:00:15,3,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:00:15,2,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:00:15,1,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:00:20,2,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:00:20,3,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:00:20,1,2,0.001,0.000,0.000,0.001,0.000
2024/3/4 14:06:43,3,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:06:43,2,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:06:43,1,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:06:48,3,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:06:48,2,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:06:48,1,2,0.001,0.000,0.000,0.001,0.000
2024/3/4 14:12:26,3,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:12:26,2,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:12:26,1,1,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:12:31,2,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:12:31,3,2,0.000,0.000,0.000,0.000,0.000
2024/3/4 14:12:31,1,2,0.000,0.000,0.000,0.000,0.000
