
a  3	2024/11/4 14:10:01	设备初始化......
a  3	2024/11/4 14:10:01	当前用户： a
a  3	2024/11/4 14:10:01	打开程序：20241031171338
a  3	2024/11/4 14:10:06	门禁打开
a  3	2024/11/4 14:10:09	门禁打开
a  3	2024/11/4 14:10:11	门禁打开
a  3	2024/11/4 14:10:14	门禁打开
a  3	2024/11/4 14:10:44	门禁打开
a  3	2024/11/4 14:11:44	门禁打开
a  3	2024/11/4 14:12:30	门禁打开
a  3	2024/11/4 14:15:52	设备初始化......
a  3	2024/11/4 14:15:52	当前用户： a
a  3	2024/11/4 14:15:52	打开程序：20241031171338
a  3	2024/11/4 14:15:53	门禁打开
a  3	2024/11/4 14:53:54	设备初始化......
a  3	2024/11/4 14:53:54	当前用户： a
a  3	2024/11/4 14:53:54	打开程序：20241031171338
a  3	2024/11/4 14:53:57	复位按钮按下
a  3	2024/11/4 14:53:58	报警代码 1006:气压检测报警
a  3	2024/11/4 14:53:59	停止
a  3	2024/11/4 14:54:00	复位失败
a  3	2024/11/4 14:54:01	Z轴复位失败
a  3	2024/11/4 14:54:05	复位按钮按下
a  3	2024/11/4 14:54:13	设备复位完成
a  3	2024/11/4 14:56:43	设备初始化......
a  3	2024/11/4 14:56:43	当前用户： a
a  3	2024/11/4 14:56:44	打开程序：20241031171338
a  3	2024/11/4 14:56:47	复位按钮按下
a  3	2024/11/4 14:56:55	设备复位完成
a  3	2024/11/4 15:01:37	键盘释放：CurrentPosition--> X:0.000 Y:0.000 Z:0.000
a  3	2024/11/4 15:01:37	键盘释放：CurrentPosition--> X:0.000 Y:0.000 Z:0.000
a  3	2024/11/4 15:05:59	设备初始化......
a  3	2024/11/4 15:05:59	当前用户： a
a  3	2024/11/4 15:05:59	打开程序：20241031171338
a  3	2024/11/4 15:06:01	复位按钮按下
a  3	2024/11/4 15:06:03	报警代码 1006:气压检测报警
a  3	2024/11/4 15:06:03	停止
a  3	2024/11/4 15:06:05	复位失败
a  3	2024/11/4 15:06:05	Z轴复位失败
a  3	2024/11/4 15:06:08	复位按钮按下
a  3	2024/11/4 15:06:16	设备复位完成
a  3	2024/11/4 15:09:04	设备初始化......
a  3	2024/11/4 15:09:04	当前用户： a
a  3	2024/11/4 15:09:04	打开程序：20241031171338
a  3	2024/11/4 15:20:25	设备初始化......
a  3	2024/11/4 15:20:25	当前用户： a
a  3	2024/11/4 15:20:25	打开程序：20241031171338
